Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C22388559,ZX-MX1.25-2PWZ-R,Megastar,"Through Hole,Right Angle,P=1.25mm",,Connector Header 2 position 1.25mm Pitch 1A Right Angle -25℃~+85℃,yes,1,20,20,0.0172,0.34,https://www.lcsc.com/product-detail/C22388559.html
2,C7430463,ZX-MX1.25-2PWZ,Megastar,"Through Hole,Right Angle,P=1.25mm",,Connector Header 2 position 1.25mm Pitch 1A Right Angle -25℃~+85℃,yes,1,50,50,0.0128,0.64,https://www.lcsc.com/product-detail/C7430463.html
3,C47326862,A254F2W1-2H2P12,JXTCONN,"Through Hole,Right Angle,P=2.5mm",,Connector Header 2 position 2.5mm Pitch 3A Right Angle -25℃~+85℃,yes,1,20,20,0.009,0.18,https://www.lcsc.com/product-detail/C47326862.html
4,C47326881,A254F2W1-2R2P12,JXTCONN,"Through Hole,Right Angle,P=2.5mm",,Connector Header 2 position 2.5mm Pitch 3A Right Angle -25℃~+85℃,yes,1,20,20,0.009,0.18,https://www.lcsc.com/product-detail/C47326881.html
5,C42422442,AXH-2AW-11,JXTCONN,"Through Hole,Right Angle,P=2.54mm",,Connector Header 2 position 2.5mm Pitch 2A Right Angle -25℃~+85℃,yes,1,50,50,0.0035,0.18,https://www.lcsc.com/product-detail/C42422442.html
6,C42163081,HC-PZ254-11L-2x3PS,Hong Cheng,"SMD,P=2.54mm",,"2x3P 6P Gold Brass -40℃~+105℃ Pin Header Black 2.54mm 2.5mm 6mm 3A 2 2.54mm SMD,P=2.54mm Headers, Male Pins RoHS",yes,1,10,10,0.0408,0.41,https://www.lcsc.com/product-detail/C42163081.html
7,C14663,CC0603KRX7R9BB104,YAGEO,603,,100nF ±10% 50V Ceramic Capacitor X7R 0603,yes,9,100,100,0.0025,0.25,https://www.lcsc.com/product-detail/C14663.html
8,C28323,CL21B105KBFNNNE,Samsung Electro-Mechanics,805,,1uF ±10% 50V Ceramic Capacitor X7R 0805,yes,3,20,20,0.0092,0.18,https://www.lcsc.com/product-detail/C28323.html
9,C602037,CL21A226MAYNNNE,Samsung Electro-Mechanics,805,,22uF ±20% 25V Ceramic Capacitor X5R 0805,yes,2,10,10,0.0219,0.22,https://www.lcsc.com/product-detail/C602037.html
10,C138687,CL32B106KBJNNNE,Samsung Electro-Mechanics,1210,,10uF ±10% 50V Ceramic Capacitor X7R 1210,yes,1,1,1,0.1585,0.16,https://www.lcsc.com/product-detail/C138687.html
11,C100042,CC0603KRX7R9BB103,YAGEO,603,,10nF ±10% 50V Ceramic Capacitor X7R 0603,yes,1,100,100,0.0022,0.22,https://www.lcsc.com/product-detail/C100042.html
12,C1621,CL10B472KB8NNNC,Samsung Electro-Mechanics,603,,4.7nF ±10% 50V Ceramic Capacitor X7R 0603,yes,1,50,50,0.0047,0.24,https://www.lcsc.com/product-detail/C1621.html
13,C178639,EEHZA1V470P,PANASONIC,"SMD,D6.3xL5.8mm",,47uF 35V Aluminum - Polymer Capacitors 10000hrs@105℃ Surface Mount D6.3xL5.8mm,yes,1,5,5,0.3383,1.69,https://www.lcsc.com/product-detail/C178639.html
14,C965799,XL-1608SURC-06,XINGLIGHT,603,,Red 625nm LED Indication - Discrete 2.3V 0603,yes,1,100,100,0.003,0.3,https://www.lcsc.com/product-detail/C965799.html
15,C150066,NSI45030AT1G,onsemi,SOD-123,,PWM 30mA 1 SOD-123 Current Regulation/Management RoHS,yes,1,5,5,0.102,0.51,https://www.lcsc.com/product-detail/C150066.html
