Designator,Mid X,Mid Y,Rotation,Layer
C1,85.0,-66.5,0.0,top
C10,102.9,-64.1,0.0,top
C11,73.8,-67.8,270.0,top
C12,68.5,-67.8,270.0,top
C13,77.1,-46.7,270.0,top
C14,75.3,-46.7,270.0,top
C17,100.3,-51.77125,270.0,top
C18,93.3,-47.87125,0.0,top
C19,93.3,-49.87125,0.0,top
C2,102.775,-66.5,0.0,top
C20,97.7,-54.07125,90.0,top
C21,104.5,-53.87125,0.0,top
C22,103.25,-43.87125,180.0,top
C3,82.275,-59.5,0.0,top
C4,82.275,-61.5,0.0,top
C5,101.4,-54.07125,180.0,top
C6,95.287712,-60.335,210.0,top
C9,102.9,-62.3,0.0,top
D1,88.0,-56.565,270.0,top
D2,78.1,-39.5,180.0,top
D3,97.4,-46.62125,270.0,top
F1,98.5,-65.1,0.0,top
J1,84.15,-43.1,270.0,top
J2,67.5,-72.0,0.0,top
J3,72.8,-72.0,0.0,top
J4,79.7,-72.0,0.0,top
J5,88.15,-72.0,0.0,top
J6,98.4,-71.95,0.0,top
J7,89.9,-31.4,0.0,top
L1,92.7,-44.47125,180.0,top
Q1,88.58,-62.9,180.0,top
Q2,81.4,-64.4,180.0,top
Q3,81.775,-37.54,0.0,top
R1,66.9,-67.775,270.0,top
R10,83.6,-40.75,270.0,top
R11,72.2,-67.8,270.0,top
R12,85.0,-60.5,90.0,top
R14,104.825,-38.67125,0.0,top
R15,104.825,-37.07125,180.0,top
R16,102.2,-56.57125,270.0,top
R17,104.5,-55.67125,0.0,top
R18,105.7,-50.87125,90.0,top
R19,104.05,-41.47125,270.0,top
R2,86.5,-60.5,90.0,top
R3,88.8,-59.9,180.0,top
R4,88.0,-53.0,270.0,top
R5,78.0,-65.0,90.0,top
R6,78.0,-61.5,90.0,top
R7,72.2,-64.71,270.0,top
R8,66.9,-64.675,270.0,top
R9,85.0,-37.5,270.0,top
SW1,95.62,-68.1,180.0,bottom
SW2,73.3,-68.1,180.0,bottom
U1,83.0,-54.5,0.0,top
U3,102.945,-49.45625,90.0,top
